Name,Formula,Exact_Mass_Calc,F_Count,Is_PFAS,PFAS_Structure_Class,Structure_Class,Instrument,Use_Category,CAS_or_Identifier,SMILES
fluorometholone,C22H29FO4,376.2049876,1,No,Not PFAS,Other,LC,Fluorochemical / Surfactant,426-13-1,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
Fluocortolone,C22H29FO4,376.2049876,1,No,Not PFAS,Other,LC,Unknown,152-97-6,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@H]1C(=O)CO)C)O)C)F
Emtricitabine,C8H10FN3O3S,247.0426904,1,No,Not PFAS,Aromatic,LC,Unknown,143491-57-0,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F
Emtricitabine 3'-sulfoxide (M-III)/Emtricitabine 3'-sulfoxide (M-IV),C10H13FN2O4S,276.0580061,1,No,Not PFAS,Aromatic,LC,Metabolite,Unknown,C1C(C(C(O1)CO)N2C=CC(=NC2=O)F)S(=O)C
Emtricitabine O-glucuronide (M-II),C14H18FN3O9S,423.0747784,1,No,Not PFAS,Aromatic,LC,Metabolite,152128-78-4,C1[C@H](O[C@H](S1)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O)N3C=C(C(=NC3=O)N)F
Gemcitabine,C9H11F2N3O4,263.0717623,2,Yes,Other PFAS,Aromatic,LC,Unknown,95058-81-4,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F
Gemcitabine diphosphate,C9H13F2N3O10P2,423.0044233,2,Yes,Other PFAS,Aromatic,LC,Unknown,116371-66-5,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)(F)F
Gemcitabine triphosphate,C9H14F2N3O13P3,502.9707538,2,Yes,Other PFAS,Aromatic,LC,Unknown,110988-86-8,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)(F)F
2 2-difluorodeoxyuridine monophosphate,C9H11F2N2O8P,344.0221084,2,Yes,Other PFAS,Aromatic,LC,Fluorochemical / Surfactant,139729-89-8,C1=CN(C(=O)NC1=O)[C@H]2C([C@@H]([C@H](O2)COP(=O)(O)O)O)(F)F
2' 2'-Difluorodeoxyuridine,C9H10F2N2O5,264.0557779,2,Yes,Other PFAS,Aromatic,LC,Fluorochemical / Surfactant,806-458-5,C1=CN(C(=O)NC1=O)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F
Nebivolol,C22H25F2NO4,405.1751647,2,No,Not PFAS,Aromatic,LC,Unknown,118457-14-0,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O
4-hydroxy Nebivolol,C22H28ClF2NO6,475.1573217,2,No,Not PFAS,Aromatic,LC,Metabolite,178383-76-1,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CC(C4=C(O3)C=CC(=C4)F)O)O)O.O.Cl
Triamcinolone,C21H27FO6,394.1791668,1,No,Not PFAS,Other,LC,Pharmaceutical,124-94-7,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O
6-beta-hydroxy-triamcinolone,C25H31FO8,478.2002962,1,No,Not PFAS,Heterocycle,LC,Pharmaceutical,Unknown,C[C@H]1C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C3=CC[C@@]2([C@]1(C(=O)CO)O)C)O[C@@H]5COC(CO5)(F)O
Ofloxacin,C18H20FN3O4,361.1437843,1,No,Not PFAS,Aromatic,LC,Unknown,82419-36-1,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
Levofloxacin,C18H20FN3O4,361.1437843,1,No,Not PFAS,Aromatic,LC,Unknown,100986-85-4,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
Levofloxacin-N-oxide,C18H20FN3O5,377.138699,1,No,Not PFAS,Aromatic,LC,Unknown,117678-38-3,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CC[N+](CC4)(C)[O-])F)C(=O)O
Desmethyl-levofloxacin,C17H18FN3O4,347.1281343,1,No,Not PFAS,Aromatic,LC,Unknown,117707-40-1,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCNCC4)F)C(=O)O
Sorafenib,C21H16ClF3N4O3,464.0863027,3,Yes,Other PFAS,Aromatic,LC,Unknown,284461-73-0,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
Sorafenib N-oxide,C21H16ClF3N4O4,480.0812173,3,Yes,Other PFAS,Aromatic,LC,Unknown,583840-03-3,CNC(=O)C1=[N+](C=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)[O-]
Sorafenib beta-D-Glucuronide,C27H24ClF3N4O9,640.1183907,3,Yes,Ether acid (PFECA),Aromatic,LC,Metabolite,1130164-93-0,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)N([C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)C4=CC(=C(C=C4)Cl)C(F)(F)F
Sunitinib,C22H27FN4O2,398.2118043,1,No,Not PFAS,Aromatic,LC,Unknown,557795-19-4,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C
N-Desethyl Sunitinib,C20H23FN4O2,370.1805042,1,No,Not PFAS,Aromatic,LC,Unknown,356068-97-8,CCNCCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C
Nilotinib,C28H22F3N7O,529.183793,3,Yes,Other PFAS,Aromatic,LC,Unknown,641571-10-0,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
Nilotinib N-Oxide,C28H22F3N7O2,545.1787076,3,Yes,Other PFAS,Aromatic,LC,Unknown,1246817-85-5,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=C[N+](=CC=C5)[O-]
Ezetimibe,C24H21F2NO3,409.14895,2,No,Not PFAS,Aromatic,LC,Unknown,163222-33-1,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O
Ezetimibe glucuronide/Ezetimibe hydroxy glucuronide,C30H29F2NO9,585.1810379,2,No,Not PFAS,Aromatic,LC,Metabolite,190448-57-8,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O
Ezetimibe ketone glucuronide,C30H27F2NO9,583.1653879,2,No,Not PFAS,Aromatic,LC,Metabolite,861404-71-9,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CCC(=O)C4=CC=C(C=C4)F)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O
Riluzole,C8H5F3N2OS,234.0074684,3,Yes,Other PFAS,Aromatic,LC,Unknown,1744-22-5,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N
4-OH-riluzole,C9H5F3N2O2S,262.0023831,3,Yes,Other PFAS,Aromatic,LC,Unknown,Unknown,FC(F)(F)OC1=CC(O)=C(C=C1)C2=NC=NS2
5-OH-riluzole,C9H5F3N2O2S,262.0023831,3,Yes,Other PFAS,Aromatic,LC,Unknown,Unknown,FC(F)(F)OC1=CC=C(O)C=C1C2=NC=NS2
7-OH-riluzole,C9H5F3N2O2S,262.0023831,3,Yes,Other PFAS,Aromatic,LC,Unknown,Unknown,FC(F)(F)OC1=CC=C(C=C1)C2=NC(=NS2)O
N-OH-riluzole,C9H4F3N3O2S,274.997632,3,Yes,Other PFAS,Aromatic,LC,Unknown,Unknown,FC(F)(F)OC1=CC=C(C=C1)C2=NC(N=O)=NS2
diflorasone diacetate,C26H32F2O7,494.2116098,2,No,Not PFAS,Other,LC,Unknown,33564-31-7,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F
Fluocinonide,C26H32F2O7,494.2116098,2,No,Not PFAS,Heterocycle,LC,Unknown,356-12-7,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3C[C@@H](C5=CC(=O)C=C[C@@]54C)F)F)O)C)OC(O2)(C)C
Benperidol,C22H24FN3O2,381.1852552,1,No,Not PFAS,Aromatic,LC,Unknown,2062-84-2,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
Etofenamate,C18H18F3NO4,369.1187927,3,Yes,Other PFAS,Aromatic,LC,Unknown,30544-47-9,C1=CC=C(C(=C1)C(=O)OCCOCCO)NC2=CC=CC(=C2)C(F)(F)F
Flunarizine,C26H26F2N2,404.2064053,2,No,Not PFAS,Aromatic,LC,Unknown,52468-60-7,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
Flunarizine metabolite M1,C17H19F2N,275.148556,2,No,Not PFAS,Aromatic,LC,Metabolite,CID:171986305,CN(C)CCC(C1=CC=C(C=C1)F)C2=CC=C(C=C2)F
Flunarizine metabolite M2,C17H21F2NO,293.1591207,2,No,Not PFAS,Aromatic,LC,Metabolite,Unknown,CN(C)CCC(C1=CC=C(C=C1)F)C2=CC=C(C=C2)F.O
Flunarizine metabolite M3,C12H15FN2O,222.1168413,1,No,Not PFAS,Aromatic,LC,Metabolite,Unknown,CN(C)CCC(C1=CC=C(C=C1)F)N=C=O
Gatifloxacin,C19H22FN3O4,375.1594344,1,No,Not PFAS,Aromatic,LC,Unknown,160738-57-8,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F
Efavirenz,C14H9ClF3NO2,315.0273909,3,Yes,Other PFAS,Aromatic,LC,Unknown,154598-52-4,C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
8-OH-efavirenz,C14H9ClF3NO3,331.0223055,3,Yes,Other PFAS,Aromatic,LC,Unknown,205754-33-2,C1CC1C#C[C@]2(C3=C(C(=CC(=C3)Cl)O)NC(=O)O2)C(F)(F)F
Flupentixol sulfoxide,C22H28F3N3O2S,455.1854328,3,Yes,Other PFAS,Aromatic,LC,Metabolite,Unknown,CN(C)CCCN1CCN(CC1)C2=CC=C(C=C2)C(=C3C=CC(=O)CS3=O)C(F)(F)F
N-dealkyl flupentixol,C20H22F3N3OS,409.143568,3,Yes,Other PFAS,Aromatic,LC,Unknown,Unknown,CNCCCN1CC=NC1C2=CC=C(C=C2)C(=C3C=CC(=O)CS3)C(F)(F)F
Capecitabine,C15H22FN3O6,359.1492636,1,No,Not PFAS,Aromatic,LC,Unknown,154361-50-9,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
floxuridine,C9H11FN2O5,246.0651997,1,No,Not PFAS,Aromatic,LC,Unknown,50-91-9,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O
Doxifluridine,C9H11FN2O5,246.0651997,1,No,Not PFAS,Aromatic,LC,Unknown,3094/9/5,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O
5'-Deoxy-5-fluorocytidine,C9H12FN3O4,245.0811841,1,No,Not PFAS,Aromatic,LC,Fluorochemical / Surfactant,66335-38-4,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=NC2=O)N)F)O)O
5-fluorodeoxyuridine monophosphate (5-FdUMP),C9H12FN2O7P,310.0366156,1,No,Not PFAS,Aromatic,LC,Fluorochemical / Surfactant,Unknown,C1C(C(C(O1)COP(=O)(O)O)N2C=CC(=O)NC2=O)F
Nadifloxacin,C19H21FN2O4,360.1485354,1,No,Not PFAS,Aromatic,LC,Unknown,124858-35-1,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O
Voriconazole,C16H14F3N5O,349.1150447,3,No,Not PFAS,Aromatic,LC,Unknown,137234-62-9,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
Voriconazole N-Oxide/4-Hydroxyvoriconazole,C14H9F3N5O3,352.0657488,3,Yes,Other PFAS,Aromatic,LC,Metabolite,Unknown,C1=CC(=CC=C1COC2=NC=NC(=N2)N3C=CN(C3=O)[O])C(F)(F)F
UK-51060,C10H7F2N3O,223.0557183,2,No,Not PFAS,Aromatic,LC,Unknown,86404-63-9,C1=CC(=C(C=C1F)F)C(=O)CN2C=NC=N2
UK-215364,C10H9F2N3O,225.0713683,2,No,Not PFAS,Aromatic,LC,Unknown,206050-23-9,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)O
Voriconazole O-glucuronide derivative (1),C20H20F3N5O8,515.1263973,3,Yes,Other PFAS,Aromatic,LC,Metabolite,Unknown,C1=CC(=C(C=C1COC2=NC=NC(=N2)N3C=CN(C3=O))C(F)(F)F)O[C@H]4C(C(C(C(O4)CO)O)O)O
4-Hydroxyvoriconazole 4-O-glucuronide,C20H20F3N5O8,515.1263973,3,Yes,Other PFAS,Aromatic,LC,Metabolite,Unknown,C1=CC(=C(C=C1COC2=NC=NC(=N2)N3C=CN(C3=O))C(F)(F)F)O[C@H]4C(C(C(C(O4)CO)O)O)O
Linezolid,C16H20FN3O4,337.1437843,1,No,Not PFAS,Aromatic,LC,Unknown,165800-03-3,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F
PNU-142300,C16H20FN3O6,369.1336136,1,No,Not PFAS,Aromatic,LC,Unknown,368891-69-4,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)NCCOCC(=O)O)F
PNU-142586,C16H20FN3O6,369.1336136,1,No,Not PFAS,Aromatic,LC,Unknown,368891-70-7,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N(CCO)CC(=O)O)F
Rufinamide,C10H8F2N4O,238.0666173,2,No,Not PFAS,Aromatic,LC,Unknown,106308-44-5,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F
CGP-47292,C10H7F2N3O2,239.0506329,2,No,Not PFAS,Aromatic,LC,Unknown,166196-11-8,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)O)F
Hexafluoroisopropanol,C3H2F6O,168.000984,6,Yes,Other PFAS,Highly-fluorinated chain,LC,Fluorochemical / Surfactant,920-66-1,C(C(F)(F)F)(C(F)(F)F)O
Lapatinib,C29H26ClFN4O4S,580.1347322,1,No,Not PFAS,Aromatic,LC,Unknown,231277-92-2,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
Mizolastine,C24H25FN6O,432.2073876,1,No,Not PFAS,Aromatic,LC,Unknown,108612-45-9,CN(C1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)C5=NC=CC(=O)N5
Cinacalcet,C22H22F3N,357.1704344,3,Yes,Other PFAS,Aromatic,LC,Unknown,226256-56-0,C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F
Pipamperone,C21H30FN3O2,375.2322054,1,No,Not PFAS,Aromatic,LC,Unknown,1893-33-0,C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N
Flupirtine,C15H17FN4O2,304.133554,1,No,Not PFAS,Aromatic,LC,Unknown,56995-20-1,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N
D13223-N2-beta-D-Glucuronide,C20H23FN4O7,450.1550773,1,No,Not PFAS,Aromatic,LC,Metabolite,1147289-76-6,CC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O
Para-fluorohippuric acid,C9H8FNO3,197.0488213,1,No,Not PFAS,Aromatic,LC,Industrial Intermediate,366-79-0,C1=CC(=CC=C1F)C(=O)NCC(=O)O
Moxifloxacin,C21H24FN3O4,401.1750845,1,No,Not PFAS,Aromatic,LC,Unknown,151096-09-2,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O
Tipranavir,C31H33F3N2O5S,602.2062278,3,Yes,Sulfonamide,Aromatic,LC,Unknown,174484-41-4,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4
Raltegravir,C20H21FN6O5,444.155746,1,No,Not PFAS,Aromatic,LC,Unknown,518048-05-0,CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F
Raltegravir-glucoronide (m2),C23H29F2N5O8,541.1984193,2,No,Not PFAS,Aromatic,LC,Unknown,Unknown,CC1=NN(C(=C1C2=NC=C(C=C2F)F)C(=O)NC3CCCN3C(=O)COC4C(C(C(C(O4)CO)O)O)O)C
Maraviroc,C29H41F2N5O,513.3279174,2,Yes,Other PFAS,Aromatic,LC,Unknown,376348-65-1,CC1=NN=C(N1C2C[C@H]3CC[C@@H](C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
Clobetasol,C22H28ClFO4,410.1660153,1,No,Not PFAS,Other,LC,Unknown,25122-41-2,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)F)C
Niaprazine,C20H25FN4O,356.2012396,1,No,Not PFAS,Aromatic,LC,Unknown,27367-90-4,CC(CCN1CCN(CC1)C2=CC=C(C=C2)F)NC(=O)C3=CN=CC=C3
para-Fluorophenylpiperazine,C10H13FN2,180.1062766,1,No,Not PFAS,Aromatic,LC,Fluorochemical / Surfactant,2252-63-3,C1CN(CCN1)C2=CC=C(C=C2)F
Diflunisal,C13H8F2O3,250.0441506,2,No,Not PFAS,Aromatic,LC,Unknown,22494-42-4,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
Diflunisal phenolic glucuronide,C19H16F2O9,426.0762385,2,No,Not PFAS,Aromatic,LC,Metabolite,58446-29-0,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O
Diflunisal acyl glucuronide,C19H16F2O9,426.0762385,2,No,Not PFAS,Aromatic,LC,Metabolite,58446-30-3,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O
mosapride,C21H25ClFN3O3,421.1568476,1,No,Not PFAS,Aromatic,LC,Unknown,112885-41-3,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N
revaprazan,C22H23FN4,362.190675,1,No,Not PFAS,Aromatic,LC,Unknown,199463-33-7,CC1C2=CC=CC=C2CCN1C3=NC(=NC(=C3C)C)NC4=CC=C(C=C4)F
vonoprazan,C17H16FN3O2S,345.094726,1,No,Not PFAS,Aromatic,LC,Unknown,881681-00-1,CNCC1=CN(C(=C1)C2=CC=CC=C2F)S(=O)(=O)C3=CN=CC=C3
cisapride,C23H29ClFN3O4,465.1830623,1,No,Not PFAS,Aromatic,LC,Unknown,81098-60-4,CO[C@H]1CN(CC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F
fosaprepitant,C23H22F7N4O6P,614.1165186,7,Yes,Other PFAS,Aromatic,LC,Unknown,172673-20-0,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NN(C(=O)N3)P(=O)(O)O)C4=CC=C(C=C4)F
fosnetupitant,C31H35F6N4O5P,688.2249262,6,Yes,Other PFAS,Aromatic,LC,Unknown,1703748-89-3,CC1=CC=CC=C1C2=CC(=NC=C2N(C)C(=O)C(C)(C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)N4CC[N+](CC4)(C)COP(=O)(O)[O-]
netupitant,C30H32F6N4O,578.248031,6,Yes,Other PFAS,Aromatic,LC,Unknown,290297-26-6,CC1=CC=CC=C1C2=CC(=NC=C2N(C)C(=O)C(C)(C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)N4CCN(CC4)C
rolapitant,C25H26F6N2O2,500.1898474,6,Yes,Other PFAS,Aromatic,LC,Unknown,552292-08-7,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC[C@]2(CC[C@]3(CCC(=O)N3)CN2)C4=CC=CC=C4
dirlotapide,C40H33F3N4O3,674.2504756,3,Yes,Other PFAS,Aromatic,LC,Unknown,481658-94-0,CN1C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3C4=CC=C(C=C4)C(F)(F)F)C=C1C(=O)N[C@@H](C5=CC=CC=C5)C(=O)N(C)CC6=CC=CC=C6
dexfenfluramine,C12H16F3N,231.1234842,3,Yes,Other PFAS,Aromatic,LC,Unknown,3239-44-9,CCN[C@@H](C)CC1=CC(=CC=C1)C(F)(F)F
fenfluramine,C12H16F3N,231.1234842,3,Yes,Other PFAS,Aromatic,LC,Unknown,458-24-2,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
tolrestat,C16H14F3NO3S,357.064649,3,Yes,Other PFAS,Aromatic,LC,Unknown,82964-04-3,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC
gemigliptin,C18H19F8N5O2,489.1411006,8,Yes,Other PFAS,Aromatic,LC,Unknown,911637-19-9,C1CC(CN(C1=O)C[C@H](CC(=O)N2CCC3=C(C2)N=C(N=C3C(F)(F)F)C(F)(F)F)N)(F)F
canagliflozin,C24H25FO5S,444.1406731,1,No,Not PFAS,Aromatic,LC,Unknown,695-192-1,CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F
ipragliflozin,C21H21FO5S,404.109373,1,No,Not PFAS,Aromatic,LC,Unknown,761423-87-4,C1=CC=C2C(=C1)C=C(S2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)F
omarigliptin,C17H20F2N4O3S,398.1224179,2,No,Not PFAS,Aromatic,LC,Unknown,1226781-44-7,CS(=O)(=O)N1C=C2CN(CC2=N1)[C@@H]3C[C@@H]([C@H](OC3)C4=C(C=CC(=C4)F)F)N
trelagliptin,C18H20FN5O2,357.1601031,1,No,Not PFAS,Aromatic,LC,Unknown,865759-25-7,CN1C(=O)C=C(N(C1=O)CC2=C(C=CC(=C2)F)C#N)N3CCC[C@H](C3)N
nitisinone,C14H10F3NO5,329.0511071,3,Yes,Other PFAS,Aromatic,LC,Unknown,104206-65-7,C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-]
telotristat ethyl,C27H26ClF3N6O3,574.170701,3,Yes,Other PFAS,Aromatic,LC,Unknown,1033805-22-9,CCOC(=O)[C@H](CC1=CC=C(C=C1)C2=CC(=NC(=N2)N)O[C@H](C3=C(C=C(C=C3)Cl)N4C=CC(=N4)C)C(F)(F)F)N
ticagrelor,C23H28F2N6O4S,522.1860808,2,No,Not PFAS,Aromatic,LC,Unknown,274693-27-5,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F
vorapaxar,C29H33FN2O4,492.2424358,1,No,Not PFAS,Aromatic,LC,Unknown,618385-01-6,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C
cangrelor,C17H25Cl2F3N5O12P3S2,774.9483132,3,Yes,Other PFAS,Aromatic,LC,Unknown,163706-06-7,CSCCNC1=C2C(=NC(=N1)SCCC(F)(F)F)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O
triflusal,C10H7F3O4,248.0296434,3,Yes,Other PFAS,Aromatic,LC,Unknown,322-79-2,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(=O)O
fostamatinib,C23H26FN6O9P,580.1482913,1,No,Not PFAS,Aromatic,LC,Unknown,901119-35-5,CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C
esaxerenone,C22H21F3N2O4S,466.1174128,3,Yes,Other PFAS,Aromatic,LC,Unknown,1632006-28-0,CC1=C(N(C=C1C(=O)NC2=CC=C(C=C2)S(=O)(=O)C)CCO)C3=CC=CC=C3C(F)(F)F
flosequinan,C11H10FNO2S,239.0416278,1,No,Not PFAS,Aromatic,LC,Unknown,76568-02-0,CN1C=C(C(=O)C2=C1C=C(C=C2)F)S(=O)C
ketanserin,C22H22FN3O3,395.1645198,1,No,Not PFAS,Aromatic,LC,Unknown,74050-98-9,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O
riociguat,C20H19FN8O2,422.1615001,1,No,Not PFAS,Aromatic,LC,Unknown,625115-55-1,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC
bendroflumethiazide,C15H14F3N3O4S2,421.0377826,3,Yes,Sulfonamide,Aromatic,LC,Pesticide,73-48-3,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
hydroflumethiazide,C8H8F3N3O4S2,330.9908324,3,Yes,Sulfonamide,Aromatic,LC,Pesticide,135-09-1,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
polythiazide,C11H13ClF3N3O4S3,438.9708812,3,Yes,Sulfonamide,Aromatic,LC,Unknown,346-18-9,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CSCC(F)(F)F
butofilolol,C17H26FNO3,311.1896719,1,No,Not PFAS,Aromatic,LC,Unknown,64552-17-6,CCCC(=O)C1=C(C=CC(=C1)F)OCC(CNC(C)(C)C)O
